Player,Team,Opponent,Game Date,Best Book,Best Odds,Median Market Odds,Books Quoting,Best Implied Probability,Median Market Implied Probability,Probability-Price Difference,Quote Age,Status
Malik Washington,MIA,SF,2026-09-20,fanatics,525,455.0,8,0.16,0.1801801801801802,0.020180180180180196,2.9501660000000003,OK
Zay Flowers,BAL,NO,2026-09-20,bovada,145,133.5,8,0.4081632653061224,0.4282655246252677,0.020102259319145277,0.8682415833333333,OK
Xavier Legette,CAR,ATL,2026-09-20,fanatics,550,475.0,8,0.15384615384615385,0.17391304347826086,0.02006688963210701,1.9671282166666666,OK
Skyy Moore,GB,NYJ,2026-09-20,fanatics,2200,1475.0,8,0.043478260869565216,0.06349206349206349,0.020013802622498272,2.2233642500000004,PRICE_OUTLIER
Jonathan Taylor,IND,KC,2026-09-20,fanatics,-140,-152.0,8,0.5833333333333333,0.6031746031746031,0.019841269841269882,3.2686915,OK
Quintin Morris,JAX,DEN,2026-09-20,fanatics,3500,2000.0,8,0.027777777777777776,0.047619047619047616,0.01984126984126984,1.7442738,PRICE_OUTLIER
Jalen McMillan,TB,CLE,2026-09-20,fanatics,370,330.0,8,0.2127659574468085,0.23255813953488372,0.019792182088075205,1.5720328333333333,OK
Roschon Johnson,CHI,MIN,2026-09-20,betmgm,1650,1200.0,7,0.05714285714285714,0.07692307692307693,0.019780219780219786,1.6860952166666665,PRICE_OUTLIER
Demarcus Robinson,SF,MIA,2026-09-20,fanatics,340,305.0,8,0.22727272727272727,0.2469135802469136,0.01964085297418633,2.9501660000000003,OK
DK Metcalf,PIT,NE,2026-09-20,draftkings,310,280.0,8,0.24390243902439027,0.2631578947368421,0.019255455712451824,1.0581373,OK
Daniel Bellinger,TEN,PHI,2026-09-20,betmgm,2200,1500.0,7,0.043478260869565216,0.0625,0.019021739130434784,0.95919885,PRICE_OUTLIER
Jordan Watkins,SF,MIA,2026-09-20,betrivers,2200,1500.0,3,0.043478260869565216,0.0625,0.019021739130434784,1.0668326666666668,PRICE_OUTLIER
Payne Durham,TB,CLE,2026-09-20,betmgm,2200,1500.0,8,0.043478260869565216,0.0625,0.019021739130434784,1.5720328333333333,PRICE_OUTLIER
Will Kacmarek,MIA,SF,2026-09-20,betmgm,2200,1500.0,8,0.043478260869565216,0.0625,0.019021739130434784,2.9501660000000003,PRICE_OUTLIER
Ameer Abdullah,JAX,DEN,2026-09-20,betmgm,1450,1100.0,8,0.06451612903225806,0.08333333333333333,0.018817204301075266,1.7442738,PRICE_OUTLIER
Chris Godwin,TB,CLE,2026-09-20,betmgm,210,193.00000000000003,8,0.3225806451612903,0.341296928327645,0.018716283166354708,1.5720328333333333,OK
Oscar Delp,NO,BAL,2026-09-20,betrivers,2500,1650.0,8,0.038461538461538464,0.05714285714285714,0.018681318681318677,0.8682415833333333,PRICE_OUTLIER
Dawson Knox,BUF,DET,2026-09-17,fanatics,575,500.0,8,0.14814814814814814,0.16666666666666666,0.018518518518518517,2.248649383333333,OK
Brian Robinson Jr.,ATL,CAR,2026-09-20,fanatics,370,332.5,8,0.2127659574468085,0.23121387283236994,0.018447915385561425,1.9671282166666666,OK
James Jordan,,,2026-09-20,fanatics,1200,950.0,7,0.07692307692307693,0.09523809523809523,0.018315018315018305,2.9501660000000003,TEAM_UNKNOWN
CeeDee Lamb,DAL,WAS,2026-09-20,fanatics,120,111.50000000000003,8,0.45454545454545453,0.47281323877068554,0.01826778422523101,3.2652496166666665,OK
Alvin Kamara,NO,BAL,2026-09-20,fanatics,450,400.0,8,0.18181818181818182,0.2,0.018181818181818188,0.8682415833333333,OK
Jerry Jeudy,CLE,TB,2026-09-20,fanatics,450,400.0,8,0.18181818181818182,0.2,0.018181818181818188,1.5720328333333333,OK
Jeremiyah Love,ARI,SEA,2026-09-20,fanatics,200,184.49999999999997,8,0.3333333333333333,0.351493848857645,0.018160515524311693,2.24694255,OK
Jalen Royals,KC,IND,2026-09-20,fanatics,2800,1800.0,8,0.034482758620689655,0.05263157894736842,0.018148820326678763,3.2686915,PRICE_OUTLIER
Jared Wayne,HOU,CIN,2026-09-20,betrivers,1600,1200.0,8,0.058823529411764705,0.07692307692307693,0.018099547511312222,1.68743255,PRICE_OUTLIER
Carolina Panthers D/ST,,,2026-09-20,bovada,700,600.0,4,0.125,0.14285714285714285,0.01785714285714285,1.9671282166666666,TEAM_UNKNOWN
Isaiah Williams,NYJ,GB,2026-09-20,betrivers,700,600.0,8,0.125,0.14285714285714285,0.01785714285714285,2.2233642500000004,OK
Cole Kmet,CHI,MIN,2026-09-20,fanatics,525,462.5,8,0.16,0.17777777777777778,0.01777777777777778,1.6860952166666665,OK
Arian Smith,NYJ,GB,2026-09-20,fanatics,3500,2100.0,8,0.027777777777777776,0.045454545454545456,0.01767676767676768,2.2233642500000004,PRICE_OUTLIER
Caleb Douglas,MIA,SF,2026-09-20,fanatics,500,442.5,8,0.16666666666666666,0.18433179723502305,0.01766513056835639,2.9501660000000003,OK
Geno Smith,NYJ,GB,2026-09-20,fanatics,900,750.0,8,0.1,0.11764705882352941,0.017647058823529405,2.2233642500000004,OK
Jacoby Brissett,ARI,SEA,2026-09-20,fanatics,900,750.0,8,0.1,0.11764705882352941,0.017647058823529405,2.24694255,OK
Jordan Love,GB,NYJ,2026-09-20,fanatics,900,750.0,8,0.1,0.11764705882352941,0.017647058823529405,2.2233642500000004,OK
Jaylen Waddle,DEN,JAX,2026-09-20,fanatics,200,185.0,8,0.3333333333333333,0.3508771929824561,0.017543859649122806,1.7442738,OK
Isaiah Davis,NYJ,GB,2026-09-20,fanatics,1500,1150.0,8,0.0625,0.08,0.0175,2.2233642500000004,PRICE_OUTLIER
Keenan Allen,IND,KC,2026-09-20,fanatics,400,359.99999999999994,8,0.2,0.2173913043478261,0.017391304347826098,3.2686915,OK
Raheim Sanders,CLE,TB,2026-09-20,fanatics,1000,825.0,8,0.09090909090909091,0.10810810810810811,0.017199017199017202,1.5720328333333333,OK
Gunnar Helm,TEN,PHI,2026-09-20,draftkings,600,525.0,7,0.14285714285714285,0.16,0.017142857142857154,0.95919885,OK
Pat Freiermuth,PIT,NE,2026-09-20,draftkings,600,525.0,8,0.14285714285714285,0.16,0.017142857142857154,1.0581373,OK
Jacob Cowing,SF,MIA,2026-09-20,betmgm,1450,1125.0,8,0.06451612903225806,0.08163265306122448,0.01711652402896642,2.9501660000000003,PRICE_OUTLIER
Michael Wilson,ARI,SEA,2026-09-20,fanatics,420,377.50000000000006,8,0.1923076923076923,0.20942408376963348,0.01711639146194119,2.24694255,OK
