season,game,event_id,player,normalized_player,player_id,position,team,opponent,kickoff,prediction_time,model_version,expected_team_td,expected_player_td,p_football,best_sportsbook,best_american,best_decimal,median_american_equivalent,median_decimal,books,best_quote_time,best_quote_age_minutes,median_quote_age_minutes,best_vs_median_decimal_deviation,extreme_best_price_flag,p_market_raw_best,p_market_raw_median,edge_best,edge_median,ev_best,ev_median,historical_role_proxy,eligible_at_prediction_time,availability_status,inactive_known_at_prediction_time,ultimately_played,settlement_status,actual_td_count,anytime_td,profit_best_units,profit_median_units,closing_same_book_decimal,closing_median_decimal,closing_same_book_time,clv_best_probability,clv_median_probability
2023,2023_13_SEA_DAL,b2eeb176fc9adfc63b9098b313905792,Damone Clark,damoneclark,,,,,2023-12-01T01:15:00+00:00,2023-12-01T00:15:00+00:00,phase5_hierarchical_frozen,,,,williamhill_us,3300,34.0,3300.0,34.0,1,2023-12-01T00:07:25+00:00,7.583333333333333,7.583333333333333,0.0,false,0.029411764705882353,0.029411764705882353,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,34.0,34.0,2023-12-01T01:06:47+00:00,0.0,0.0
2023,2023_13_SEA_DAL,b2eeb176fc9adfc63b9098b313905792,DaRon Bland,daronbland,,,,,2023-12-01T01:15:00+00:00,2023-12-01T00:15:00+00:00,phase5_hierarchical_frozen,,,,williamhill_us,2500,26.0,2500.0,26.0,1,2023-12-01T00:07:25+00:00,7.583333333333333,7.583333333333333,0.0,false,0.038461538461538464,0.038461538461538464,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,19.0,19.0,2023-12-01T01:06:47+00:00,0.014170040485829954,0.014170040485829954
2023,2023_13_SEA_DAL,b2eeb176fc9adfc63b9098b313905792,Darrell Taylor,darrelltaylor,,,,,2023-12-01T01:15:00+00:00,2023-12-01T00:15:00+00:00,phase5_hierarchical_frozen,,,,williamhill_us,5000,51.0,5000.0,51.0,1,2023-12-01T00:07:25+00:00,7.583333333333333,7.583333333333333,0.0,false,0.0196078431372549,0.0196078431372549,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,51.0,51.0,2023-12-01T01:06:47+00:00,0.0,0.0
2023,2023_13_SEA_DAL,b2eeb176fc9adfc63b9098b313905792,Dee Eskridge,deeeskridge,00-0036620,WR,SEA,DAL,2023-12-01T01:15:00+00:00,2023-12-01T00:15:00+00:00,phase5_hierarchical_frozen,1.9350813245804155,0.02495880308299377,0.024649907382513603,betmgm,2500,26.0,2500.0,26.0,1,2023-12-01T00:07:42+00:00,7.3,7.3,0.0,false,0.038461538461538464,0.038461538461538464,-0.013811631079024861,-0.013811631079024861,-0.3591024080546463,-0.3591024080546463,true,false,historical_active_status_unverified,false,,policy_unknown,,,,,,,,,
2023,2023_13_SEA_DAL,b2eeb176fc9adfc63b9098b313905792,DeeJay Dallas,deejaydallas,00-0036425,RB,SEA,DAL,2023-12-01T01:15:00+00:00,2023-12-01T00:15:00+00:00,phase5_hierarchical_frozen,1.9350813245804155,0.02665273887091212,0.02630068925616902,draftkings,750,8.5,490.0,5.9,6,2023-12-01T00:10:31+00:00,4.483333333333333,7.4,0.44067796610169485,true,0.11764705882352941,0.1694915254237288,-0.09134636956736039,-0.1431908361675598,-0.7764441413225633,-0.8448259333886028,true,false,historical_active_status_unverified,false,true,graded_played,0,0,-1.0,-1.0,7.5,6.0,2023-12-01T01:09:42+00:00,0.01568627450980392,-0.0028248587570621486
2023,2023_13_SEA_DAL,b2eeb176fc9adfc63b9098b313905792,DeMarcus Lawrence,demarcuslawrence,,,,,2023-12-01T01:15:00+00:00,2023-12-01T00:15:00+00:00,phase5_hierarchical_frozen,,,,williamhill_us,4500,46.0,4500.0,46.0,1,2023-12-01T00:07:25+00:00,7.583333333333333,7.583333333333333,0.0,false,0.021739130434782608,0.021739130434782608,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,46.0,46.0,2023-12-01T01:06:47+00:00,0.0,0.0
2023,2023_13_SEA_DAL,b2eeb176fc9adfc63b9098b313905792,Deuce Vaughn,deucevaughn,00-0038622,RB,DAL,SEA,2023-12-01T01:15:00+00:00,2023-12-01T00:15:00+00:00,phase5_hierarchical_frozen,3.180668077542295,0.17880521456864704,0.1637312234921645,betmgm,700,8.0,700.0,8.0,1,2023-12-01T00:07:42+00:00,7.3,7.3,0.0,false,0.125,0.125,0.03873122349216451,0.03873122349216451,0.3098497879373161,0.3098497879373161,true,false,historical_active_status_unverified,false,,policy_unknown,,,,,,,,,
2023,2023_13_SEA_DAL,b2eeb176fc9adfc63b9098b313905792,Devon Witherspoon,devonwitherspoon,,,,,2023-12-01T01:15:00+00:00,2023-12-01T00:15:00+00:00,phase5_hierarchical_frozen,,,,williamhill_us,3300,34.0,3300.0,34.0,1,2023-12-01T00:07:25+00:00,7.583333333333333,7.583333333333333,0.0,false,0.029411764705882353,0.029411764705882353,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,34.0,34.0,2023-12-01T01:06:47+00:00,0.0,0.0
2023,2023_13_SEA_DAL,b2eeb176fc9adfc63b9098b313905792,DK Metcalf,dkmetcalf,00-0035640,WR,SEA,DAL,2023-12-01T01:15:00+00:00,2023-12-01T00:15:00+00:00,phase5_hierarchical_frozen,1.9350813245804155,0.29936900794676696,0.25871418139837055,fanduel,220,3.2,210.0,3.1,8,2023-12-01T00:07:17+00:00,7.716666666666667,7.4,0.032258064516129004,false,0.3125,0.3225806451612903,-0.053785818601629454,-0.06386646376291977,-0.17211461952521423,-0.1979860376650513,true,false,historical_active_status_unverified,false,true,graded_played,3,1,2.2,2.1,3.2,3.125,2023-12-01T01:06:32+00:00,0.0,-0.002580645161290307
2023,2023_13_SEA_DAL,b2eeb176fc9adfc63b9098b313905792,Donovan Wilson,donovanwilson,,,,,2023-12-01T01:15:00+00:00,2023-12-01T00:15:00+00:00,phase5_hierarchical_frozen,,,,williamhill_us,3300,34.0,3300.0,34.0,1,2023-12-01T00:07:25+00:00,7.583333333333333,7.583333333333333,0.0,false,0.029411764705882353,0.029411764705882353,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,34.0,34.0,2023-12-01T01:06:47+00:00,0.0,0.0
2023,2023_13_SEA_DAL,b2eeb176fc9adfc63b9098b313905792,Dorance Armstrong,dorancearmstrong,,,,,2023-12-01T01:15:00+00:00,2023-12-01T00:15:00+00:00,phase5_hierarchical_frozen,,,,williamhill_us,5000,51.0,5000.0,51.0,1,2023-12-01T00:07:25+00:00,7.583333333333333,7.583333333333333,0.0,false,0.0196078431372549,0.0196078431372549,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,51.0,51.0,2023-12-01T01:06:47+00:00,0.0,0.0
2023,2023_13_SEA_DAL,b2eeb176fc9adfc63b9098b313905792,Dre'Mont Jones,dremontjones,,,,,2023-12-01T01:15:00+00:00,2023-12-01T00:15:00+00:00,phase5_hierarchical_frozen,,,,williamhill_us,5000,51.0,5000.0,51.0,1,2023-12-01T00:07:25+00:00,7.583333333333333,7.583333333333333,0.0,false,0.0196078431372549,0.0196078431372549,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,51.0,51.0,2023-12-01T01:06:47+00:00,0.0,0.0
2023,2023_13_SEA_DAL,b2eeb176fc9adfc63b9098b313905792,Geno Smith,genosmith,00-0030565,QB,SEA,DAL,2023-12-01T01:15:00+00:00,2023-12-01T00:15:00+00:00,phase5_hierarchical_frozen,1.9350813245804155,0.1121646487389379,0.10610293364144441,betmgm,1000,11.0,725.0,8.25,8,2023-12-01T00:07:42+00:00,7.3,7.4,0.33333333333333326,true,0.09090909090909091,0.12121212121212122,0.015193842732353496,-0.015109187570676808,0.16713227005588838,-0.1246507974580836,true,false,historical_active_status_unverified,false,true,graded_played,1,1,10.0,7.25,11.0,8.25,2023-12-01T01:00:16+00:00,0.0,0.0
2023,2023_13_SEA_DAL,b2eeb176fc9adfc63b9098b313905792,Hunter Luepke,hunterluepke,00-0038738,RB,DAL,SEA,2023-12-01T01:15:00+00:00,2023-12-01T00:15:00+00:00,phase5_hierarchical_frozen,3.180668077542295,0.052452898154589554,0.05110098510207839,draftkings,1800,19.0,1000.0,11.0,6,2023-12-01T00:10:31+00:00,4.483333333333333,7.4,0.7272727272727273,true,0.05263157894736842,0.09090909090909091,-0.0015305938452900292,-0.03980810580701252,-0.02908128306051061,-0.4378891638771377,true,false,historical_active_status_unverified,false,true,graded_played,0,0,-1.0,-1.0,19.0,14.5,2023-12-01T01:09:42+00:00,0.0,-0.021943573667711602
2023,2023_13_SEA_DAL,b2eeb176fc9adfc63b9098b313905792,Jake Bobo,jakebobo,00-0038752,WR,SEA,DAL,2023-12-01T01:15:00+00:00,2023-12-01T00:15:00+00:00,phase5_hierarchical_frozen,1.9350813245804155,0.09320980088198333,0.08899764885154804,fanduel,850,9.5,600.0,7.0,7,2023-12-01T00:07:17+00:00,7.716666666666667,7.5,0.3571428571428572,true,0.10526315789473684,0.14285714285714285,-0.016265509043188797,-0.05385949400559481,-0.15452233591029363,-0.3770164580391637,true,false,historical_active_status_unverified,false,true,graded_played,0,0,-1.0,-1.0,9.5,7.0,2023-12-01T01:06:32+00:00,0.0,0.0
2023,2023_13_SEA_DAL,b2eeb176fc9adfc63b9098b313905792,Jake Ferguson,jakeferguson,00-0038041,TE,DAL,SEA,2023-12-01T01:15:00+00:00,2023-12-01T00:15:00+00:00,phase5_hierarchical_frozen,3.180668077542295,0.30124335888543563,0.2601023098419659,betmgm,200,3.0,177.5,2.775,8,2023-12-01T00:07:42+00:00,7.3,7.4,0.08108108108108114,false,0.3333333333333333,0.3603603603603604,-0.0732310234913674,-0.10025805051839448,-0.21969307047410225,-0.27821609018854465,true,false,historical_active_status_unverified,false,true,graded_played,1,1,2.0,1.775,2.85,2.725,2023-12-01T01:00:16+00:00,0.017543859649122806,0.0066121167038597495
2023,2023_13_SEA_DAL,b2eeb176fc9adfc63b9098b313905792,Jalen Brooks,jalenbrooks,00-0038640,WR,DAL,SEA,2023-12-01T01:15:00+00:00,2023-12-01T00:15:00+00:00,phase5_hierarchical_frozen,3.180668077542295,0.10836347265599865,0.10269860736946534,bovada,1000,11.0,900.0,10.0,2,2023-12-01T00:07:30+00:00,7.5,7.4,0.10000000000000009,false,0.09090909090909091,0.1,0.011789516460374433,0.002698607369465339,0.1296846810641188,0.026986073694653445,true,false,historical_active_status_unverified,false,,policy_unknown,,,,,,,,,
2023,2023_13_SEA_DAL,b2eeb176fc9adfc63b9098b313905792,Jalen Tolbert,jalentolbert,00-0037666,WR,DAL,SEA,2023-12-01T01:15:00+00:00,2023-12-01T00:15:00+00:00,phase5_hierarchical_frozen,3.180668077542295,0.183992129281869,0.16805764821534475,draftkings,700,8.0,500.0,6.0,8,2023-12-01T00:10:31+00:00,4.483333333333333,7.4,0.33333333333333326,true,0.125,0.16666666666666666,0.043057648215344746,0.0013909815486780885,0.34446118572275797,0.008345889292068476,true,false,historical_active_status_unverified,false,true,graded_played,0,0,-1.0,-1.0,8.5,6.0,2023-12-01T01:09:42+00:00,-0.00735294117647059,0.0
2023,2023_13_SEA_DAL,b2eeb176fc9adfc63b9098b313905792,Jamal Adams,jamaladams,,,,,2023-12-01T01:15:00+00:00,2023-12-01T00:15:00+00:00,phase5_hierarchical_frozen,,,,williamhill_us,3300,34.0,3300.0,34.0,1,2023-12-01T00:07:25+00:00,7.583333333333333,7.583333333333333,0.0,false,0.029411764705882353,0.029411764705882353,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,36.0,36.0,2023-12-01T01:06:47+00:00,-0.0016339869281045763,-0.0016339869281045763
2023,2023_13_SEA_DAL,b2eeb176fc9adfc63b9098b313905792,Jarran Reed,jarranreed,,,,,2023-12-01T01:15:00+00:00,2023-12-01T00:15:00+00:00,phase5_hierarchical_frozen,,,,williamhill_us,4500,46.0,4500.0,46.0,1,2023-12-01T00:07:25+00:00,7.583333333333333,7.583333333333333,0.0,false,0.021739130434782608,0.021739130434782608,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,46.0,46.0,2023-12-01T01:06:47+00:00,0.0,0.0
2023,2023_13_SEA_DAL,b2eeb176fc9adfc63b9098b313905792,Jaxon Smith-Njigba,jaxonsmithnjigba,00-0038543,WR,SEA,DAL,2023-12-01T01:15:00+00:00,2023-12-01T00:15:00+00:00,phase5_hierarchical_frozen,1.9350813245804155,0.16091536218806107,0.14863587434540282,pointsbetus,375,4.75,295.0,3.95,8,2023-12-01T00:09:39+00:00,5.35,7.4,0.20253164556962022,false,0.21052631578947367,0.2531645569620253,-0.061890441444070854,-0.10452868261662246,-0.2939795968593366,-0.4128882963356588,true,false,historical_active_status_unverified,false,true,graded_played,0,0,-1.0,-1.0,4.5,3.95,2023-12-01T01:08:57+00:00,0.011695906432748537,0.0
2023,2023_13_SEA_DAL,b2eeb176fc9adfc63b9098b313905792,Jayron Kearse,jayronkearse,,,,,2023-12-01T01:15:00+00:00,2023-12-01T00:15:00+00:00,phase5_hierarchical_frozen,,,,williamhill_us,3300,34.0,3300.0,34.0,1,2023-12-01T00:07:25+00:00,7.583333333333333,7.583333333333333,0.0,false,0.029411764705882353,0.029411764705882353,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,34.0,34.0,2023-12-01T01:06:47+00:00,0.0,0.0
2023,2023_13_SEA_DAL,b2eeb176fc9adfc63b9098b313905792,Johnathan Hankins,johnathanhankins,,,,,2023-12-01T01:15:00+00:00,2023-12-01T00:15:00+00:00,phase5_hierarchical_frozen,,,,williamhill_us,5000,51.0,5000.0,51.0,1,2023-12-01T00:07:25+00:00,7.583333333333333,7.583333333333333,0.0,false,0.0196078431372549,0.0196078431372549,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,51.0,51.0,2023-12-01T01:06:47+00:00,0.0,0.0
