season,game,event_id,prediction_time,sportsbook,player,normalized_player,price,quote_time,quote_age_minutes
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,fanduel,Drew Sample,drewsample,1100,2023-09-17T15:51:25+00:00,8.583333333333334
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,unibet_us,Drew Sample,drewsample,1050,2023-09-17T15:51:25+00:00,8.583333333333334
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,williamhill_us,Drew Sample,drewsample,1200,2023-09-17T15:53:58+00:00,6.033333333333333
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,williamhill_us,Geno Stone,genostone,3500,2023-09-17T15:53:58+00:00,6.033333333333333
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,williamhill_us,Germaine Pratt,germainepratt,3500,2023-09-17T15:53:58+00:00,6.033333333333333
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,barstool,Gus Edwards,gusedwards,225,2023-09-17T15:54:45+00:00,5.25
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,betmgm,Gus Edwards,gusedwards,190,2023-09-17T15:54:20+00:00,5.666666666666667
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,betrivers,Gus Edwards,gusedwards,185,2023-09-17T15:52:47+00:00,7.216666666666667
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,bovada,Gus Edwards,gusedwards,175,2023-09-17T15:52:49+00:00,7.183333333333334
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,draftkings,Gus Edwards,gusedwards,235,2023-09-17T15:55:32+00:00,4.466666666666667
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,fanduel,Gus Edwards,gusedwards,230,2023-09-17T15:51:25+00:00,8.583333333333334
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,pointsbetus,Gus Edwards,gusedwards,240,2023-09-17T15:53:16+00:00,6.733333333333333
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,unibet_us,Gus Edwards,gusedwards,185,2023-09-17T15:51:25+00:00,8.583333333333334
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,williamhill_us,Gus Edwards,gusedwards,195,2023-09-17T15:53:58+00:00,6.033333333333333
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,betmgm,Irv Smith,irvsmith,220,2023-09-17T15:54:20+00:00,5.666666666666667
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,betrivers,Irv Smith Jr.,irvsmith,280,2023-09-17T15:52:47+00:00,7.216666666666667
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,bovada,Irv Smith Jr.,irvsmith,275,2023-09-17T15:52:49+00:00,7.183333333333334
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,draftkings,Irv Smith Jr.,irvsmith,280,2023-09-17T15:55:32+00:00,4.466666666666667
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,fanduel,Irv Smith Jr.,irvsmith,320,2023-09-17T15:51:25+00:00,8.583333333333334
