Player,Team,Opponent,Game Date,Prop,Sportsbook Line,Model Mean,Distribution Method,P(Over),P(Under),P(Push),Best Over Odds,Best Under Odds,Market No-Vig P(Over),Median Over Odds,Median Under Odds,Books Quoting,Model Minus Market,Quote Age,Quote Timestamp,Confidence / Data Quality Flag
Michael Pittman Jr.,PIT,NE,2026-09-20,receptions,3.5,5.035071099811883,negative_binomial,0.49417687930236315,0.5058231206976369,0.0,-131,110,0.5427071779876539,-137.48363636363635,105.00000000000003,4,-0.04853029868529074,1.1928762999999998,2026-09-17T19:43:26+00:00,TEAM_CHANGE|MARKET_ALIGNED
Chris Godwin,TB,CLE,2026-09-20,receptions,3.5,7.326350158304864,negative_binomial,0.6130607921765256,0.38693920782347435,0.0,-140,120,0.5674562306900103,-152.0,117.49999999999999,4,0.04560456148651537,1.2428762999999998,2026-09-17T19:43:48+00:00,MARKET_ALIGNED
Kenneth Walker III,KC,IND,2026-09-20,receptions,3.5,4.3545968273759765,negative_binomial,0.44526167695264046,0.5547383230473595,0.0,138,-169,0.4033025825310413,132.50000000000003,-174.9942857142857,4,0.041959094421599175,1.2428762999999998,2026-09-17T19:43:10+00:00,TEAM_CHANGE|MARKET_ALIGNED
Javonte Williams,DAL,WAS,2026-09-20,receptions,2.5,3.070419185276915,negative_binomial,0.43655689379492596,0.5634431062050741,0.0,105,-114,0.47823563551944287,-103.0,-124.00000000000001,5,-0.04167874172451691,1.1595429666666666,2026-09-17T19:43:41+00:00,TEAM_CHANGE|MARKET_ALIGNED
Evan Engram,DEN,JAX,2026-09-20,receptions,2.5,5.267502261645771,negative_binomial,0.6066586611437029,0.393341338856297,0.0,-148,128,0.5692871193108593,-154.0,117.99999999999997,3,0.037371541832843636,1.8762096333333331,2026-09-17T19:42:17+00:00,TEAM_CHANGE|MARKET_ALIGNED
Wan'Dale Robinson,TEN,PHI,2026-09-20,receptions,4.5,4.886003838006734,negative_binomial,0.40037200866289063,0.5996279913371094,0.0,122,-148,0.4354215641406834,114.99999999999999,-151.94078947368425,4,-0.03504955547779276,0.9762096333333333,2026-09-17T19:43:11+00:00,TEAM_CHANGE|MARKET_ALIGNED
Rachaad White,WAS,DAL,2026-09-20,receptions,1.5,3.02690054797274,negative_binomial,0.5763468281042632,0.42365317189573687,0.0,-185,140,0.6103896103896104,-188.0,140.0,3,-0.034042782285347184,1.1595429666666666,2026-09-17T19:43:00+00:00,TEAM_CHANGE|MARKET_ALIGNED
Tee Higgins,CIN,HOU,2026-09-20,receptions,3.5,6.980555771194717,negative_binomial,0.5985782016642437,0.40142179833575625,0.0,-144,140,0.5657907173501592,-150.29900332225913,117.0,4,0.032787484314084514,1.8262096333333333,2026-09-17T19:43:10+00:00,MARKET_ALIGNED
Ja'Marr Chase,CIN,HOU,2026-09-20,receptions,6.5,8.316493314325779,negative_binomial,0.4604025427809832,0.5395974572190169,0.0,-109,-112,0.49277456647398843,-109.99999999999999,-116.99999999999999,5,-0.032372023693005236,1.8262096333333333,2026-09-17T19:43:10+00:00,MARKET_ALIGNED
Keenan Allen,IND,KC,2026-09-20,receptions,3.5,5.633547871270429,negative_binomial,0.5311719838856016,0.4688280161143984,0.0,-112,-102,0.5066760008355587,-117.44680851063829,-110.9189189189189,4,0.024495983050042858,1.2428762999999998,2026-09-17T19:43:10+00:00,TEAM_CHANGE|MARKET_ALIGNED
