game,player_id,position,team,season,anytime_td,p_hierarchical_oof,p_pooled_logistic_oof_raw,p_position_logistic_oof_raw,p_lightgbm_conservative_oof_raw,component_fit_max_season
2023_12_TB_IND,00-0038129,TE,TB,2023,0,0.20041418098855523,0.2254005871977091,0.2532663310369349,0.19447464980297213,2022
2023_12_TB_IND,00-0038821,WR,TB,2023,0,0.05319327012690844,0.04780122008328182,0.049850244470316295,0.05031462174864718,2022
2023_12_TB_IND,00-0039050,TE,TB,2023,0,0.03789344361975444,0.04400116519314445,0.03519518025634935,0.044911315009468496,2022
2023_12_TB_IND,00-0039052,WR,TB,2023,0,0.15164620459033828,0.14645778777762788,0.14026366737866183,0.13925995965460566,2022
2023_12_WAS_DAL,00-0031236,WR,DAL,2023,1,0.2430672265724486,0.24519831915954265,0.19954520070342147,0.23208790443803795,2022
2023_12_WAS_DAL,00-0033077,QB,DAL,2023,0,0.22106818912472592,0.17012374688194326,0.1811409784766571,0.1647377563293701,2022
2023_12_WAS_DAL,00-0033662,QB,DAL,2023,0,0.09408244002199495,0.04929246586036048,0.03273482990115681,0.07632390080937508,2022
2023_12_WAS_DAL,00-0034764,WR,DAL,2023,0,0.20560819639770134,0.16053153142154694,0.15427482723732536,0.15021255619973475,2022
2023_12_WAS_DAL,00-0035261,RB,DAL,2023,1,0.49805981293063417,0.4887108004371065,0.4828626657704953,0.41376923638292457,2022
2023_12_WAS_DAL,00-0036139,RB,DAL,2023,1,0.23760381481597792,0.15528911377913351,0.19958821738482596,0.10621456512810284,2022
2023_12_WAS_DAL,00-0036358,WR,DAL,2023,1,0.4523322245332323,0.5306903033420312,0.48918560464611516,0.39081056427621924,2022
2023_12_WAS_DAL,00-0037666,WR,DAL,2023,0,0.15905037676586087,0.13205658406963539,0.12244064453254372,0.08404609379127247,2022
2023_12_WAS_DAL,00-0037801,WR,DAL,2023,1,0.09586616906878442,0.08091880405691879,0.06649613600506103,0.07969002128153058,2022
2023_12_WAS_DAL,00-0038041,TE,DAL,2023,0,0.26987361731891335,0.27502057526305373,0.2453094601759826,0.2486353084798958,2022
2023_12_WAS_DAL,00-0038547,TE,DAL,2023,0,0.08697009370365638,0.09010453184484242,0.07623648539241047,0.06474007820037485,2022
2023_12_WAS_DAL,00-0038622,RB,DAL,2023,0,0.17594073437795754,0.11933931412609187,0.14570544203279978,0.08908238596932959,2022
2023_12_WAS_DAL,00-0038640,WR,DAL,2023,0,0.14880738564311546,0.12181503249353474,0.09993030126959825,0.09594216033349505,2022
2023_12_WAS_DAL,00-0038738,RB,DAL,2023,0,0.05518620035915023,0.06719201490102807,0.09085532515471699,0.06396051037557787,2022
2023_12_WAS_DAL,00-0031260,TE,WAS,2023,0,0.14685263110804092,0.1314899317799074,0.12033581526432643,0.14561582561291722,2022
2023_12_WAS_DAL,00-0031941,WR,WAS,2023,0,0.06669813011820469,0.049417872851240316,0.05186576897253087,0.07532927395646875,2022
2023_12_WAS_DAL,00-0033282,WR,WAS,2023,0,0.12350454984577286,0.07222514411260247,0.07308886240773688,0.12994587563462284,2022
2023_12_WAS_DAL,00-0033296,RB,WAS,2023,0,0.016048048171706908,0.033146318986655245,0.039955380265603,0.044360772749409486,2022
2023_12_WAS_DAL,00-0034297,WR,WAS,2023,0,0.045922558189427365,0.03908808874224592,0.04242469341435162,0.05705672741667572,2022
2023_12_WAS_DAL,00-0035659,WR,WAS,2023,0,0.18506827798243708,0.16126775137411253,0.19434952787212012,0.17024662097672552,2022
2023_12_WAS_DAL,00-0035715,RB,WAS,2023,0,0.029305818871211975,0.026186171749577034,0.033889470631358075,0.05251736952221063,2022
2023_12_WAS_DAL,00-0036328,RB,WAS,2023,0,0.16811046190000212,0.11594325885861366,0.12676257054019482,0.1551864995382256,2022
2023_12_WAS_DAL,00-0036626,WR,WAS,2023,0,0.04969674489297271,0.04216457567349634,0.04634517509384381,0.04983955872440543,2022
2023_12_WAS_DAL,00-0036628,TE,WAS,2023,0,0.05729583005510397,0.062247460264976996,0.06066973290615334,0.05649265139755827,2022
2023_12_WAS_DAL,00-0037077,QB,WAS,2023,1,0.11350578926651345,0.0844298547476331,0.07563487593529411,0.09096175846364898,2022
2023_12_WAS_DAL,00-0037078,TE,WAS,2023,0,0.06251675389614786,0.04058437733153005,0.027318669609611032,0.09314388735145215,2022
2023_12_WAS_DAL,00-0037741,WR,WAS,2023,0,0.15339331791041888,0.14649119033458563,0.1536430811919743,0.1552168261599804,2022
2023_12_WAS_DAL,00-0037746,RB,WAS,2023,0,0.30720223699234916,0.24025893526401884,0.30003469028247925,0.2426850820188394,2022
2023_12_WAS_DAL,00-0038611,RB,WAS,2023,0,0.07985280389477056,0.04642047927447399,0.06594806817258582,0.07121240643125515,2022
2023_13_ARI_PIT,00-0032141,TE,ARI,2023,0,0.041210161655766187,0.050108896591624236,0.04304830986387386,0.05937581954842407,2022
2023_13_ARI_PIT,00-0033251,WR,ARI,2023,0,0.02748487784732856,0.037259991907018446,0.04048381492978828,0.04685077031569381,2022
2023_13_ARI_PIT,00-0033553,RB,ARI,2023,1,0.21147244487031247,0.21619633897347446,0.25317550199295774,0.22025702331010855,2022
2023_13_ARI_PIT,00-0035228,QB,ARI,2023,0,0.1286501098597309,0.09676368943540228,0.06434973961074972,0.12697617611461404,2022
